RR,SBP
762.0,123.75892639160156
795.0,125.78819274902344
809.0,124.95390319824219
785.0,121.56953430175781
767.0,120.49240112304688
787.0,123.49822998046875
815.0,122.58309936523438
803.0,122.91737365722656
788.0,122.72271728515625
814.0,123.87518310546875
838.0,125.73681640625
856.0,125.83969116210938
837.0,124.02052307128906
832.0,122.75001525878906
844.0,124.80441284179688
865.0,124.60641479492188
862.0,124.28758239746094
844.0,122.22261047363281
860.0,124.2423095703125
881.0,125.8848876953125
896.0,125.43257141113281
875.0,123.77558898925781
873.0,123.11094665527344
868.0,124.69354248046875
865.0,123.55999755859375
842.0,121.95375061035156
856.0,122.151611328125
863.0,124.24526977539062
852.0,123.08804321289062
824.0,120.55714416503906
826.0,120.55191040039062
813.0,123.41587829589844
799.0,123.21719360351562
815.0,122.88314819335938
803.0,122.08917236328125
815.0,124.68318176269531
811.0,124.95236206054688
793.0,123.27413940429688
788.0,123.02552795410156
792.0,125.42803955078125
786.0,126.02482604980469
772.0,124.00674438476562
788.0,123.76445007324219
829.0,126.96278381347656
840.0,127.0980224609375
821.0,124.70475769042969
807.0,122.20985412597656
823.0,124.25468444824219
821.0,124.19918823242188
812.0,122.68684387207031
790.0,119.14053344726562
812.0,122.48260498046875
817.0,124.64860534667969
841.0,124.73477172851562
837.0,123.72923278808594
